"model_key","model_label","target","positive_class","lambda_min","lambda_1se","active_terms","accuracy","auc"
"chatgpt","ChatGPT","gender","male",0.0290159651399501,0.0610758252800971,5,0.8625,0.934756944444444
"chatgpt","ChatGPT","ethnicity","german",0.0519792084828739,0.0519792084828739,2,0.5,0.504166666666667
"gemini","Gemini","gender","male",0.0305562607553119,0.0533979334679477,6,0.95,0.965347222222222
"gemini","Gemini","ethnicity","german",0.0467305060683868,0.0512866727209203,2,0.5,0.579166666666667
"qwen4B","Qwen 4B","gender","male",0.0328229757773996,0.041417897907421,12,0.670833333333333,0.698229166666667
"qwen4B","Qwen 4B","ethnicity","german",0.0467040448598171,0.0467040448598171,2,0.5,0.483333333333333
"qwen8B","Qwen 8B","gender","male",0.0336623896831232,0.0488383637052199,7,0.695833333333333,0.775520833333333
"qwen8B","Qwen 8B","ethnicity","german",0.0582356126806863,0.0582356126806863,2,0.5,0.504166666666667
"qwen14B","Qwen 14B","gender","male",0.0472920718126642,0.0753023522087565,2,0.716666666666667,0.717430555555556
"qwen14B","Qwen 14B","ethnicity","german",0.0497023327802844,0.0571456048017182,2,0.579166666666667,0.582673611111111
"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0344291801123355,0.0414700693335154,12,0.6,0.645138888888889
"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0455837106586236,0.050028066174432,3,0.533333333333333,0.548888888888889
"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0356416230639064,0.0409792054450556,18,0.6875,0.7325
"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0532569685596362,0.0532569685596362,2,0.5,0.5
"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.046403025845069,0.0642629180842737,3,0.695833333333333,0.696805555555556
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0434181917791276,0.0476514118775333,10,0.570833333333333,0.590590277777778
