"seed","model_key","model_label","target","positive_class","lambda_min","lambda_1se","active_terms","accuracy","auc"
1,"chatgpt","ChatGPT","gender","male",0.0305707863186293,0.058632024787896,5,0.916666666666667,0.954618055555556
1,"chatgpt","ChatGPT","ethnicity","german",0.0544111606960487,0.0544111606960487,2,0.5,0.5
1,"gemini","Gemini","gender","male",0.0276388471304663,0.0440088607136262,6,0.895833333333333,0.9271875
1,"gemini","Gemini","ethnicity","german",0.0540513037713916,0.0593212391623925,2,0.5,0.545833333333333
1,"qwen4B","Qwen 4B","gender","male",0.033570853559816,0.0423616126348553,9,0.6125,0.676145833333333
1,"qwen4B","Qwen 4B","ethnicity","german",0.0414808300830301,0.0414808300830301,1,0.5,0.5
1,"qwen8B","Qwen 8B","gender","male",0.034219982137053,0.0496473348840534,6,0.658333333333333,0.733020833333333
1,"qwen8B","Qwen 8B","ethnicity","german",0.0512989176042577,0.0512989176042577,2,0.5,0.500034722222222
1,"qwen14B","Qwen 14B","gender","male",0.0441620773300153,0.0771744843375371,2,0.666666666666667,0.663854166666667
1,"qwen14B","Qwen 14B","ethnicity","german",0.0438163196568459,0.0480883567318375,4,0.533333333333333,0.568680555555556
1,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0407709543348554,0.0427122940174625,9,0.5875,0.628368055555556
1,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0396077508320233,0.0434694576421021,8,0.525,0.506979166666667
1,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0318628091155429,0.0670681589631015,3,0.6625,0.705104166666667
1,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0533287348462448,0.0558680227012692,1,0.5,0.5
1,"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.0379017407644911,0.0632239141300649,3,0.616666666666667,0.633402777777778
1,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0425667070365287,0.0445935528358501,6,0.525,0.530034722222222
7,"chatgpt","ChatGPT","gender","male",0.0314777890574721,0.0550083303473836,4,0.75,0.816388888888889
7,"chatgpt","ChatGPT","ethnicity","german",0.0433528046678542,0.0433528046678542,2,0.5,0.5
7,"gemini","Gemini","gender","male",0.0326709370638655,0.0626599254532437,4,0.854166666666667,0.885277777777778
7,"gemini","Gemini","ethnicity","german",0.0458217756604985,0.0526839071072039,3,0.5375,0.551875
7,"qwen4B","Qwen 4B","gender","male",0.0306067443679129,0.0404603148005249,11,0.670833333333333,0.725416666666667
7,"qwen4B","Qwen 4B","ethnicity","german",0.043140511802741,0.043140511802741,1,0.5,0.5
7,"qwen8B","Qwen 8B","gender","male",0.0308604162218639,0.0407956540624705,18,0.6375,0.694479166666667
7,"qwen8B","Qwen 8B","ethnicity","german",0.0434166689054041,0.0601271530584143,1,0.5,0.5
7,"qwen14B","Qwen 14B","gender","male",0.0423079476507779,0.0585917001032077,2,0.658333333333333,0.658194444444444
7,"qwen14B","Qwen 14B","ethnicity","german",0.0469772223025611,0.0592785313098093,4,0.570833333333333,0.578090277777778
7,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0359218192354321,0.0453281948544834,10,0.616666666666667,0.651979166666667
7,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0396166845117073,0.0630809650772141,2,0.541666666666667,0.542604166666667
7,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0366824615056217,0.0508010410083158,8,0.604166666666667,0.627569444444444
7,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0524906252077723,0.0524906252077723,1,0.5,0.5
