"model_key","model_label","target","term","selected_n","selected_share","coefficient_mean","coefficient_sd","coefficient_min","coefficient_max"
"chatgpt","ChatGPT","ethnicity","muttersprache",16,0.533333333333333,-0.00103308380448117,0.00413233521792457,-0.0165293408716983,-1.97014394041115e-17
"chatgpt","ChatGPT","ethnicity","bildungsprogrammen",2,0.0666666666666667,-4.55640464195712e-17,2.17119531221908e-17,-6.09167157050767e-17,-3.02113771340656e-17
"chatgpt","ChatGPT","ethnicity","haltung",1,0.0333333333333333,4.12275631277327e-17,NA,4.12275631277327e-17,4.12275631277327e-17
"chatgpt","ChatGPT","ethnicity","bildungsmanager",1,0.0333333333333333,-3.85299322073711e-17,NA,-3.85299322073711e-17,-3.85299322073711e-17
"chatgpt","ChatGPT","ethnicity","märz",1,0.0333333333333333,3.48582590555287e-17,NA,3.48582590555287e-17,3.48582590555287e-17
"chatgpt","ChatGPT","gender","fachkraft",30,1,-0.990525670871927,0.122885080563456,-1.22192783273226,-0.705346728048151
"chatgpt","ChatGPT","gender","fach-mann/-frau",30,1,0.59999627951247,0.0913567072181564,0.417784539645516,0.782419979589315
"chatgpt","ChatGPT","gender","kauf-mann/-frau",26,0.866666666666667,-0.198693418426971,0.100884831174507,-0.346633508482463,-0.00590964352219021
"chatgpt","ChatGPT","gender","kommunikationsspezialist",17,0.566666666666667,-0.0570880717466588,0.0351728051192411,-0.150326997408917,-0.00140549840602495
"chatgpt","ChatGPT","gender","kommunikationsprofi",8,0.266666666666667,0.0168388623812895,0.0140559304940688,0.00334972626682104,0.0384005531858361
"chatgpt","ChatGPT","gender","sport",5,0.166666666666667,0.023153548968945,0.0130812629797474,0.0114906019284195,0.0434769302659632
"chatgpt","ChatGPT","gender","frau",1,0.0333333333333333,-0.000239358393104258,NA,-0.000239358393104258,-0.000239358393104258
"gemini","Gemini","ethnicity","austausch",24,0.8,-0.0233470916633809,0.0231336162711734,-0.0792539947012195,-2.74379265535943e-17
"gemini","Gemini","ethnicity","muttersprache",9,0.3,0.00833037204126142,0.00476380593766867,0.00110041079066848,0.0177505862427478
"gemini","Gemini","ethnicity","fußball",4,0.133333333333333,-0.019294483139676,0.00659164302490755,-0.0280922156093127,-0.0122686970974335
"gemini","Gemini","ethnicity","persönlichkeitsentwicklung",3,0.1,-0.00548489036913601,0.00662071335934702,-0.0128393664095804,-2.72116569685049e-17
"gemini","Gemini","ethnicity","freuen",2,0.0666666666666667,-0.021259837478137,0.00799034455657298,-0.0269098642981067,-0.0156098106581672
"gemini","Gemini","ethnicity","bereitschaft",2,0.0666666666666667,-0.0181641865543337,0.0120200873958612,-0.0266636718624021,-0.00966470124626526
"gemini","Gemini","ethnicity","asana",2,0.0666666666666667,0.00145974697079668,7.83305304663016e-05,0.00140435892153002,0.00151513502006335
"gemini","Gemini","ethnicity","fachartikel",1,0.0333333333333333,0.0817199367760344,NA,0.0817199367760344,0.0817199367760344
"gemini","Gemini","ethnicity","geschäftsmodelle",1,0.0333333333333333,0.0517597335159301,NA,0.0517597335159301,0.0517597335159301
"gemini","Gemini","ethnicity","ableitung",1,0.0333333333333333,0.0301098521301798,NA,0.0301098521301798,0.0301098521301798
"gemini","Gemini","ethnicity","arbeitsumfeld",1,0.0333333333333333,0.0299480534042032,NA,0.0299480534042032,0.0299480534042032
"gemini","Gemini","ethnicity","messen",1,0.0333333333333333,0.0183077387490934,NA,0.0183077387490934,0.0183077387490934
"gemini","Gemini","ethnicity","koordinationsfähigkeit",1,0.0333333333333333,-0.0176615303214332,NA,-0.0176615303214332,-0.0176615303214332
"gemini","Gemini","ethnicity","bank",1,0.0333333333333333,-0.0163237323116492,NA,-0.0163237323116492,-0.0163237323116492
"gemini","Gemini","ethnicity","einfühlungsvermögen",1,0.0333333333333333,-0.00960372010231512,NA,-0.00960372010231512,-0.00960372010231512
"gemini","Gemini","ethnicity","akquisition",1,0.0333333333333333,-0.00948082118166886,NA,-0.00948082118166886,-0.00948082118166886
"gemini","Gemini","ethnicity","beratungshaus",1,0.0333333333333333,-0.0082744310167275,NA,-0.0082744310167275,-0.0082744310167275
"gemini","Gemini","ethnicity","solide",1,0.0333333333333333,-0.00807371524585496,NA,-0.00807371524585496,-0.00807371524585496
"gemini","Gemini","ethnicity","feld",1,0.0333333333333333,-0.00522811519209287,NA,-0.00522811519209287,-0.00522811519209287
"gemini","Gemini","ethnicity","professionell",1,0.0333333333333333,0.0036773400606266,NA,0.0036773400606266,0.0036773400606266
"gemini","Gemini","ethnicity","finanzbuchhalter",1,0.0333333333333333,0.00317349624172277,NA,0.00317349624172277,0.00317349624172277
