"model_key","model_label","target","positive_class","n_seeds","auc_mean","auc_sd","auc_se","auc_ci95_low","auc_ci95_high","auc_min","auc_max","accuracy_mean","accuracy_sd","accuracy_se","accuracy_ci95_low","accuracy_ci95_high","accuracy_min","accuracy_max","active_terms_mean","active_terms_sd","active_terms_se","active_terms_ci95_low","active_terms_ci95_high","active_terms_min","active_terms_max"
"chatgpt","ChatGPT","ethnicity","german",30,0.49930787037037,0.00465563557133511,0.000849998873981231,0.497569427477525,0.501046313263216,0.483333333333333,0.504236111111111,0.500138888888889,0.000760725774312728,0.000138888888888888,0.49985482921637,0.500422948561407,0.5,0.504166666666667,1.7,0.466091599699399,0.0850962943396763,1.52595853638084,1.87404146361916,1,2
"chatgpt","ChatGPT","gender","male",30,0.899684027777778,0.0457164169981174,0.00834663761272716,0.882613237120088,0.916754818435467,0.778125,0.973090277777778,0.824722222222222,0.0604296293400112,0.0110328903770667,0.802157427784645,0.8472870166598,0.716666666666667,0.954166666666667,4.9,1.26899362787455,0.231685478439069,4.42614999184472,5.37385000815528,3,8
"gemini","Gemini","ethnicity","german",30,0.539608796296296,0.0265479849050507,0.00484697672960098,0.529695615814189,0.549521976778404,0.495833333333333,0.579166666666667,0.520555555555556,0.0224230627260836,0.00409387242114309,0.512182646328724,0.528928464782387,0.5,0.566666666666667,3.1,3.11115900346279,0.568017322060621,1.93827413567678,4.26172586432322,1,17
"gemini","Gemini","gender","male",30,0.914583333333333,0.033807011687205,0.00617228763430766,0.901959587703878,0.927207078962788,0.8421875,0.965347222222222,0.876944444444444,0.0393726749805157,0.00718843407871591,0.862242445986138,0.891646442902751,0.820833333333333,0.95,6.93333333333333,3.95608072625467,0.722278217693701,5.4561085126394,8.41055815402727,4,24
"qwen14B","Qwen 14B","ethnicity","german",30,0.578873842592593,0.0219815785406024,0.00401326880541981,0.570665786269901,0.587081898915284,0.541944444444444,0.634826388888889,0.565694444444444,0.0222555724363582,0.0040632930178612,0.557384077119644,0.574004811769245,0.5,0.608333333333333,3.43333333333333,1.75545127970055,0.320500088164434,2.77783705271329,4.08882961395338,2,9
"qwen14B","Qwen 14B","gender","male",30,0.686494212962963,0.0347287547534706,0.00634057412418021,0.67352628281605,0.699462143109876,0.624652777777778,0.779166666666667,0.686805555555556,0.0344650437414806,0.00629242730087039,0.67393609671885,0.699675014392261,0.625,0.779166666666667,2.13333333333333,0.730296743340221,0.133333333333333,1.86063604771564,2.40603061895103,2,6
"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",30,0.557049768518519,0.0435766836698114,0.00795597754240757,0.540777967416644,0.573321569620393,0.4875,0.663715277777778,0.541527777777778,0.0354311723731286,0.00646881744920547,0.528297560581118,0.554757994974438,0.5,0.633333333333333,3.56666666666667,2.38794867000418,0.435977784241916,2.67499197902376,4.45834135430957,1,10
"qwen14B_topk64","Qwen 14B top_k=64","gender","male",30,0.679145833333333,0.032840283879567,0.00599578809190405,0.666883069799825,0.691408596866842,0.621354166666667,0.743333333333333,0.669861111111111,0.0322132823838436,0.00588131380430499,0.657832473783862,0.68188974843836,0.616666666666667,0.745833333333333,4,3.31142223846179,0.604580219143258,2.76349461476112,5.23650538523888,2,13
"qwen4B","Qwen 4B","ethnicity","german",30,0.498540509259259,0.00857090944899688,0.00156482681451659,0.495340079073406,0.501740939445113,0.475,0.5203125,0.499722222222222,0.00105711721542692,0.000193002314938791,0.499327488166709,0.500116956277735,0.495833333333333,0.5,1.36666666666667,0.490132517853561,0.0894855453983996,1.18364817667545,1.54968515665789,1,2
"qwen4B","Qwen 4B","gender","male",30,0.683409722222222,0.0348421449185696,0.00636127624125486,0.670399451491813,0.696419992952631,0.617048611111111,0.758576388888889,0.635833333333333,0.028796917406335,0.00525757375002095,0.625080387654092,0.646586279012575,0.570833333333333,0.7,9.16666666666667,4.88546989469325,0.891960688445293,7.34240222704126,10.9909311062921,4,20
